Date,Time,北緯,東經,深度,芮氏規模,城市,震度
2017-01-31,09:55:50,23.46,120.44,12.1,2.9,嘉義市,2
2017-01-31,09:55:50,23.46,120.44,12.1,2.9,嘉義縣,1
2017-01-27,00:12:39,23.93,121.69,52.8,4.4,花蓮縣,3
2017-01-27,00:12:39,23.93,121.69,52.8,4.4,南投縣,2
2017-01-27,00:12:39,23.93,121.69,52.8,4.4,宜蘭縣,2
2017-01-27,00:12:39,23.93,121.69,52.8,4.4,雲林縣,1
2017-01-27,00:12:39,23.93,121.69,52.8,4.4,彰化縣,1
2017-01-27,00:12:39,23.93,121.69,52.8,4.4,臺中市,1
2017-01-27,00:12:39,23.93,121.69,52.8,4.4,臺東縣,1
2017-01-26,18:35:03,24.44,121.92,16.5,3.7,宜蘭縣,3
2017-01-26,18:35:03,24.44,121.92,16.5,3.7,花蓮縣,2
2017-01-26,18:35:03,24.44,121.92,16.5,3.7,桃園市,1
2017-01-25,16:45:21,22.78,121.05,5.5,3.4,臺東縣,3
2017-01-25,15:33:06,24.24,121.83,57.5,4.9,宜蘭縣,3
2017-01-25,15:33:06,24.24,121.83,57.5,4.9,花蓮縣,3
2017-01-25,15:33:06,24.24,121.83,57.5,4.9,新竹縣,3
2017-01-25,15:33:06,24.24,121.83,57.5,4.9,雲林縣,2
2017-01-25,15:33:06,24.24,121.83,57.5,4.9,新北市,2
2017-01-25,15:33:06,24.24,121.83,57.5,4.9,南投縣,2
2017-01-25,15:33:06,24.24,121.83,57.5,4.9,彰化縣,2
2017-01-25,15:33:06,24.24,121.83,57.5,4.9,臺中市,2
2017-01-25,15:33:06,24.24,121.83,57.5,4.9,臺北市,1
2017-01-25,15:33:06,24.24,121.83,57.5,4.9,臺東縣,1
2017-01-25,15:33:06,24.24,121.83,57.5,4.9,臺南市,1
2017-01-25,15:33:06,24.24,121.83,57.5,4.9,苗栗縣,1
2017-01-25,15:33:06,24.24,121.83,57.5,4.9,桃園市,1
2017-01-25,15:33:06,24.24,121.83,57.5,4.9,嘉義市,1
2017-01-25,04:40:21,23.98,121.66,40.4,3.8,花蓮縣,2
2017-01-25,04:40:21,23.98,121.66,40.4,3.8,南投縣,1
2017-01-25,04:40:21,23.98,121.66,40.4,3.8,宜蘭縣,1
2017-01-23,02:51:21,24.45,121.92,16.6,3.0,宜蘭縣,3
2017-01-23,02:51:21,24.45,121.92,16.6,3.0,花蓮縣,1
2017-01-21,07:13:54,23.77,121.62,33.0,3.8,花蓮縣,2
2017-01-21,07:13:54,23.77,121.62,33.0,3.8,宜蘭縣,1
2017-01-20,16:16:27,24.35,122.2,42.2,4.5,宜蘭縣,3
2017-01-20,16:16:27,24.35,122.2,42.2,4.5,花蓮縣,2
2017-01-18,22:16:12,24.58,121.7,6.9,3.5,宜蘭縣,4
2017-01-18,22:16:12,24.58,121.7,6.9,3.5,花蓮縣,2
2017-01-18,06:00:41,23.85,121.59,24.9,3.7,花蓮縣,2
2017-01-18,06:00:41,23.85,121.59,24.9,3.7,南投縣,1
2017-01-17,23:31:15,22.61,120.54,32.9,3.1,高雄市,1
2017-01-16,11:43:23,24.37,122.01,66.0,4.2,宜蘭縣,3
2017-01-16,11:43:23,24.37,122.01,66.0,4.2,花蓮縣,2
2017-01-16,03:25:36,23.14,120.46,9.9,3.6,嘉義縣,2
2017-01-16,03:25:36,23.14,120.46,9.9,3.6,臺南市,2
2017-01-16,03:25:36,23.14,120.46,9.9,3.6,雲林縣,1
2017-01-16,03:24:04,24.38,121.92,17.1,2.9,宜蘭縣,3
2017-01-16,03:24:04,24.38,121.92,17.1,2.9,花蓮縣,1
2017-01-14,23:18:07,23.29,120.41,5.9,2.8,嘉義縣,1
2017-01-14,23:18:07,23.29,120.41,5.9,2.8,臺南市,1
2017-01-14,13:52:43,23.93,121.48,20.3,2.9,花蓮縣,3
2017-01-13,03:28:02,22.93,120.99,8.9,3.4,臺東縣,2
2017-01-13,02:52:00,23.12,120.68,8.4,3.4,高雄市,2
2017-01-13,02:52:00,23.12,120.68,8.4,3.4,嘉義縣,2
2017-01-13,02:52:00,23.12,120.68,8.4,3.4,臺南市,1
2017-01-13,01:46:42,23.11,120.67,8.1,3.9,高雄市,3
2017-01-13,01:46:42,23.11,120.67,8.1,3.9,嘉義縣,3
2017-01-13,01:46:42,23.11,120.67,8.1,3.9,臺南市,2
2017-01-13,01:46:42,23.11,120.67,8.1,3.9,嘉義市,1
2017-01-13,01:46:42,23.11,120.67,8.1,3.9,屏東縣,1
2017-01-12,01:31:03,23.11,120.68,9.0,4.5,高雄市,4
2017-01-12,01:31:03,23.11,120.68,9.0,4.5,嘉義縣,4
2017-01-12,01:31:03,23.11,120.68,9.0,4.5,臺南市,2
2017-01-12,01:31:03,23.11,120.68,9.0,4.5,嘉義市,2
