name,latitude,longitude,area_1,area_2,address,phone,opening_hours_all,rating,avg_price,image
屋馬燒肉 國安店,24.1921769,120.6117689,台中市,西屯區,臺中市西屯區國安一路168號B1之2,04-24652222,"['星期一 11:00-00:00', '星期二 11:00-00:00', '星期三 11:00-00:00', '星期四 11:00-00:00', '星期五 11:00-00:00', '星期六 11:00-00:00', '星期日 11:00-00:00']",4.8,1000,food_image/屋馬燒肉 國安店.jpg
宮原眼科,24.1378278,120.6835552,台中市,中區,臺中市中區中山路20號,04-22271927,"['星期一 10:00-21:00', '星期二 10:00-21:00', '星期三 10:00-21:00', '星期四 10:00-21:00', '星期五 10:00-21:00', '星期六 10:00-21:00', '星期日 10:00-21:00']",4,170,food_image/宮原眼科.jpg
信兵衛 手做丼飯壽司,24.1470647,120.6758146,台中市,北區,台中市北區成功路478號,09-87292354,"['星期一 11:00-14:00, 17:30-22:00', '星期二 11:00-14:00, 17:30-22:00', '星期三 11:00-14:00, 17:30-22:00', '星期四 11:00-14:00, 17:30-22:00', '星期五 11:00-14:00, 17:30-22:00', '星期六 11:00-14:00, 17:00-22:00', '星期日 11:00-14:00, 17:00-22:00']",4.6,480,food_image/信兵衛 手做丼飯壽司.jpg
屋馬燒肉 崇德店,24.179698,120.6858032,台中市,北屯區,臺中市北屯區崇德路二段369號,04-22410000,"['星期一 11:00-00:00', '星期二 11:00-00:00', '星期三 11:00-00:00', '星期四 11:00-00:00', '星期五 11:00-00:00', '星期六 11:00-00:00', '星期日 11:00-00:00']",4.7,1100,food_image/屋馬燒肉 崇德店.jpg
屋馬燒肉 中港店,24.1657554,120.6445412,台中市,西屯區,臺中市西屯區臺灣大道三段300號,04-23121000,"['星期一 00:00-01:00, 11:00-00:00', '星期二 00:00-01:00, 11:00-00:00', '星期三 00:00-01:00, 11:00-00:00', '星期四 00:00-01:00, 11:00-00:00', '星期五 00:00-01:00, 11:00-00:00', '星期六 00:00-01:00, 11:00-00:00', '星期日 11:00-00:00, 00:00-01:00']",4.8,1500,food_image/屋馬燒肉 中港店.jpg
屋馬燒肉 園邸店,24.1505957,120.6664536,台中市,西區,臺中市西區公益路111號,04-23013000,"['星期一 11:00-00:00', '星期二 11:00-00:00', '星期三 11:00-00:00', '星期四 11:00-00:00', '星期五 11:00-00:00', '星期六 11:00-00:00', '星期日 11:00-00:00']",4.6,1800,food_image/屋馬燒肉 園邸店.jpg
薰衣草森林 台中新社店,24.1291194,120.8414518,台中市,新社區,臺中市新社區中興街20號,04-25931066,"['星期一 10:30-18:30', '星期二 10:30-18:30', '星期三 10:30-18:30', '星期四 10:30-18:30', '星期五 10:30-18:30', '星期六 10:00-18:30', '星期日 10:00-18:30']",4.7,200,food_image/薰衣草森林 台中新社店.jpg
和牛涮 日式鍋物放題 台中文心崇德店,24.1724479,120.684973,台中市,北屯區,臺中市北屯區文心路四段601號,04-22476628,"['星期一 11:20-21:30', '星期二 11:20-21:30', '星期三 11:20-21:30', '星期四 11:20-21:30', '星期五 11:10-00:00', '星期六 11:10-00:00', '星期日 11:10-21:30']",4.5,1000,food_image/和牛涮 日式鍋物放題 台中文心崇德店.jpg
國立臺灣美術館,24.1411864,120.6633131,台中市,西區,臺中市西區五權西路一段2號,04-23723552,"['星期一 休息', '星期二 09:00-17:00', '星期三 09:00-17:00', '星期四 09:00-17:00', '星期五 09:00-17:00', '星期六 09:00-18:00', '星期日 09:00-18:00']",4.5,0,food_image/國立臺灣美術館.jpg
くら寿司 藏壽司 台中中清路店,24.1869625,120.6631408,台中市,北屯區,臺中市北屯區中清路二段777號,04-24264891,"['星期一 11:00-22:00', '星期二 11:00-22:00', '星期三 11:00-22:00', '星期四 11:00-22:00', '星期五 11:00-22:00', '星期六 10:30-22:00', '星期日 10:30-22:00']",4.6,500,food_image/くら寿司 藏壽司 台中中清路店.jpg
