name,latitude,longitude,area_1,area_2,address,phone,opening_hours_all,rating,avg_price
皇家帝國麻辣火鍋,25.0387766,121.5069087,台北市,萬華區,臺北市萬華區中華路一段192號,0223149969,"['星期一 11:30-23:00', '星期二 11:30-23:00', '星期三 11:30-23:00', '星期四 休息', '星期五 11:30-23:00', '星期六 11:30-23:00', '星期日 11:30-23:00']",4.6,1100
京站時尚廣場,25.049308,121.5171935,台北市,大同區,臺北市大同區承德路一段1號,0221828888,"['星期一 11:00-21:30', '星期二 11:00-21:30', '星期三 11:00-21:30', '星期四 11:00-21:30', '星期五 11:00-22:00', '星期六 11:00-22:00', '星期日 11:00-21:30']",4.3,70
くら寿司 藏壽司 松江南京店,25.0522603,121.5324896,台北市,中山區,臺北市中山區南京東路二段101號B1F,0225681519,"['星期一 11:00-22:00', '星期二 11:00-22:00', '星期三 11:00-22:00', '星期四 11:00-22:00', '星期五 11:00-22:00', '星期六 10:30-22:00', '星期日 10:30-22:00']",4.5,500
阜杭豆漿,25.0442333,121.5248433,台北市,中正區,臺北市中正區忠孝東路一段108號2樓,0223922175,"['星期一 休息', '星期二 05:30-12:30', '星期三 05:30-12:30', '星期四 05:30-12:30', '星期五 05:30-12:30', '星期六 05:30-12:30', '星期日 05:30-12:30']",4.0,110
狗一下居食酒屋 忠孝店,25.0425389,121.5476083,台北市,大安區,臺北市大安區敦化南路一段190巷18號,0227313585,"['星期一 11:30-14:30, 17:00-22:30', '星期二 11:30-14:30, 17:00-22:30', '星期三 11:30-14:30, 17:00-22:30', '星期四 11:30-14:30, 17:00-22:30', '星期五 11:30-14:30, 17:00-22:30', '星期六 11:30-14:30, 17:00-22:30', '星期日 11:30-14:30, 17:00-22:30']",4.8,900
くら寿司 藏壽司 台北館前店,25.0456068,121.5147159,台北市,中正區,臺北市中正區館前路12號5樓,0223316029,"['星期一 11:00-22:00', '星期二 11:00-22:00', '星期三 11:00-22:00', '星期四 11:00-22:00', '星期五 11:00-22:00', '星期六 10:30-22:00', '星期日 10:30-22:00']",4.5,300
豐FOOD．海陸百匯,25.08369679999999,121.5549291,台北市,中山區,臺北市中山區植福路8號1樓,0285020555,"['星期一 11:30-14:00, 14:30-16:30, 17:30-21:00', '星期二 11:30-14:00, 14:30-16:30, 17:30-21:00', '星期三 11:30-14:00, 14:30-16:30, 17:30-21:00', '星期四 11:30-14:00, 14:30-16:30, 17:30-21:00', '星期五 11:30-14:00, 14:30-16:30, 17:30-21:00', '星期六 11:30-14:00, 14:30-16:30, 17:30-21:00', '星期日 11:30-14:00, 14:30-16:30, 17:30-21:00']",4.3,999
雙月食品社 青島店,25.0437017,121.5220376,台北市,中正區,臺北市中正區青島東路6之2號,0233938953,"['星期一 11:00-14:00, 17:00-20:00', '星期二 11:00-14:00, 17:00-20:00', '星期三 11:00-14:00, 17:00-20:00', '星期四 11:00-14:00, 17:00-20:00', '星期五 11:00-14:00, 17:00-20:00', '星期六 11:00-14:00, 17:00-20:00', '星期日 休息']",4.7,500
くら寿司 藏壽司 中山南西店,25.0531227,121.519271,台北市,大同區,臺北市大同區南京西路57號2樓,0225565289,"['星期一 11:00-22:00', '星期二 11:00-22:00', '星期三 11:00-22:00', '星期四 11:00-22:00', '星期五 11:00-22:00', '星期六 10:30-22:00', '星期日 10:30-22:00']",4.5,470
くら寿司 藏壽司 南港CITYLINK店,25.0527455,121.6072067,台北市,南港區,臺北市南港區忠孝東路七段369號3F,0226510266,"['星期一 11:00-21:30', '星期二 11:00-21:30', '星期三 11:00-21:30', '星期四 11:00-21:30', '星期五 11:00-22:00', '星期六 11:00-22:00', '星期日 11:00-21:30']",4.5,570
