title,image,area_1,area_2,latitude,longitude,address
太魯閣國家公園-太魯閣遊客中心,/hotspots/taiwan_img/太魯閣國家公園-太魯閣遊客中心.jpg,花蓮縣,秀林鄉,24.158076,121.62223,花蓮縣秀林鄉富世村富世291號
七星潭,/hotspots/taiwan_img/七星潭.jpg,花蓮縣,新城鄉,24.031426,121.62717,花蓮縣新城鄉海岸路
九曲洞,/hotspots/taiwan_img/九曲洞.jpg,花蓮縣,秀林鄉,24.17173,121.53102,花蓮縣秀林鄉
清水斷崖,/hotspots/taiwan_img/清水斷崖.jpg,花蓮縣,新城鄉,24.205009,121.67094,花蓮縣新城鄉
花東縱谷國家風景區-鶴岡遊客中心,/hotspots/taiwan_img/花東縱谷國家風景區-鶴岡遊客中心.jpg,花蓮縣,瑞穗鄉,23.524066,121.39086,花蓮縣瑞穗鄉鶴岡村17鄰興鶴路二段168號
鯉魚潭,/hotspots/taiwan_img/鯉魚潭.jpg,花蓮縣,壽豐鄉,23.927826,121.50987,花蓮縣壽豐鄉池南村環潭北路100號
舞鶴觀光茶園,/hotspots/taiwan_img/舞鶴觀光茶園.jpg,花蓮縣,瑞穗鄉,23.447772,121.35462,花蓮縣瑞穗鄉舞鶴村
蘇花公路,/hotspots/taiwan_img/蘇花公路.jpg,花蓮縣,秀林鄉,24.372073,121.78251,花蓮縣秀林鄉
長春祠步道,/hotspots/taiwan_img/長春祠步道.jpg,花蓮縣,秀林鄉,24.160437,121.60305,花蓮縣秀林鄉
六十石山,/hotspots/taiwan_img/六十石山.jpg,花蓮縣,富里鄉,23.220922,121.31118,花蓮縣富里鄉竹田村
秀姑巒溪,/hotspots/taiwan_img/秀姑巒溪.jpg,花蓮縣,瑞穗鄉,23.487892,121.40107,花蓮縣瑞穗鄉中山路三段215號
瑞穗溫泉,/hotspots/taiwan_img/瑞穗溫泉.jpg,花蓮縣,瑞穗鄉,23.496564,121.3436,花蓮縣瑞穗鄉
石梯坪,/hotspots/taiwan_img/石梯坪.jpg,花蓮縣,豐濱鄉,23.488683,121.51379,花蓮縣豐濱鄉石梯坪52號
富源國家森林遊樂區,/hotspots/taiwan_img/富源國家森林遊樂區.jpg,花蓮縣,瑞穗鄉,23.58866,121.35398,花蓮縣瑞穗鄉富源村廣東路161號
布洛灣臺地,/hotspots/taiwan_img/布洛灣臺地.jpg,花蓮縣,秀林鄉,24.17068,121.57261,花蓮縣秀林鄉
砂卡礑步道,/hotspots/taiwan_img/砂卡礑步道.jpg,花蓮縣,秀林鄉,24.162911,121.61326,花蓮縣秀林鄉
池南國家森林遊樂區,/hotspots/taiwan_img/池南國家森林遊樂區.jpg,花蓮縣,壽豐鄉,23.918408,121.50119,花蓮縣壽豐鄉池南村林園路65號
