title,address,Latitude,Longtitude,image
正濱漁港,"Taiwan, 正濱漁港",25.15269779,121.7662044,HotSpot_pic/正濱漁港.jpg
望幽谷,"Badouzi, Zhongzheng District, Keelung City, Taiwan 202",25.1458024,121.7983034,HotSpot_pic/望幽谷.jpg
彭佳嶼,"Pengjia Islet, Taiwan",25.6288053,122.0794835,HotSpot_pic/彭佳嶼.jpg
芳裕農場,"No. 51, Dacheng St, Qidu District, Keelung City, Taiwan 206",25.106624,121.685437,HotSpot_pic/芳裕農場.jpg
藍色公路,"103, Taiwan, Taipei City, Datong District, 台北市大同區",25.0574511,121.5064523,HotSpot_pic/藍色公路.jpg
仙洞巖,"203, Taiwan, Keelung City, Zhongshan District, 仙洞巖",25.145717,121.7481605,HotSpot_pic/仙洞巖.jpg
基隆海洋廣場,"Zhongyi Rd, Ren’ai District, Keelung City, Taiwan 200",25.1310222,121.741348,HotSpot_pic/基隆海洋廣場.jpg
基隆河壺穴景觀,"Keelung River, Taiwan",25.05906484,121.6509395,HotSpot_pic/基隆河壺穴景觀.jpg
槓子寮砲台,"Lane 141, Jiaozhong St, Xinyi District, Keelung City, Taiwan 201",25.1437076,121.7819019,HotSpot_pic/槓子寮砲台.jpg
八斗子漁港,"Badouzi, Zhongzheng District, Keelung City, Taiwan",25.1411143,121.7962777,HotSpot_pic/八斗子漁港.jpg
碧砂漁港,"Beining Rd, Zhongzheng District, Keelung City, Taiwan 202",25.1430274,121.7888768,HotSpot_pic/碧砂漁港.jpg
基隆潮境公園,"Chaojing Park, No. 61, Lane 369, Beining Rd, Zhongzheng District, Keelung City, Taiwan 202",25.1434517,121.8034149,HotSpot_pic/基隆潮境公園.jpg
基隆港,"Inner Harbor of Keelung, Taiwan",25.13888064,121.7508907,HotSpot_pic/基隆港.jpg
瑪陵坑,"206, Taiwan, 基隆市七堵區瑪陵坑",25.107068,121.692812,HotSpot_pic/瑪陵坑.jpg
情人湖公園,"Lovers Lake Park, 底大武崙山山腰 Lane 208, Jijinyi Rd, Anle District, Keelung City, Taiwan 204",25.1567262,121.7059256,HotSpot_pic/情人湖公園.jpg
和平島公園,"202, Taiwan, Keelung City, Zhongzheng District, 和平島公園",25.1564,121.76482,HotSpot_pic/和平島公園.jpg
基隆國立海洋科技博物館,"No. 367號, Beining Rd, Zhongzheng District, Keelung City, Taiwan 202",25.1400236,121.7985672,HotSpot_pic/基隆國立海洋科技博物館.jpg
二砂灣砲台(海門天險),"Shoushan Rd, Zhongzheng District, Keelung City, Taiwan 202",25.1389415,121.7564572,HotSpot_pic/二砂灣砲台(海門天險).jpg
暖暖運動公園,"No. 15號, Dongding Rd, Nuannuan District, Keelung City, Taiwan 205",25.0947775,121.7429221,HotSpot_pic/暖暖運動公園.jpg
十分老街,"No. 81號, Shifen St, Pingxi District, New Taipei City, Taiwan 226",25.0426687,121.7766757,HotSpot_pic/十分老街.jpg
平溪老街,"Jingtong St, Pingxi District, New Taipei City, Taiwan 226",25.0237927,121.723513,HotSpot_pic/平溪老街.jpg
北海岸濱海公路,"Binhai, Tianjin, China",39.0031999,117.71071,HotSpot_pic/北海岸濱海公路.jpg
猴硐貓村,"Houtong Cat Village, Ruifang District, New Taipei City, Taiwan 224",25.0869527,121.8274974,HotSpot_pic/猴硐貓村.jpg
西門町,"Shi-men Ting, Wanhua District, Taipei City, Taiwan 108",25.0446664,121.5063096,HotSpot_pic/西門町.jpg
八煙聚落,"Jinshan District, New Taipei City, Taiwan 208",25.189818,121.588892,HotSpot_pic/八煙聚落.jpg
十分瀑布,"226, Taiwan, New Taipei City, Pingxi District, 乾坑10號",25.0489711,121.7874553,HotSpot_pic/十分瀑布.jpg
永樂市場・大稻程廣場,"No. 21號, Section 1, Dihua St, Datong District, Taipei City, Taiwan 103",25.0548835,121.5104598,HotSpot_pic/永樂市場・大稻程廣場.jpg
四四南村,"No. 52號, Songqin St, Xinyi District, Taipei City, Taiwan 110",25.0315454,121.5618806,HotSpot_pic/四四南村.jpg
水源市場,"No. 92, Section 4, Roosevelt Rd, Zhongzheng District, Taipei City, Taiwan 100",25.013569,121.5349937,HotSpot_pic/水源市場.jpg
三創生活園區,"No. 2號, Section 3, Civic Blvd, Zhongzheng District, Taipei City, Taiwan 100013",25.0454978,121.5313187,HotSpot_pic/三創生活園區.jpg
中和烘爐地,"235, Taiwan, 新北市中和區烘爐地",24.9725741,121.4987377,HotSpot_pic/中和烘爐地.jpg
農禪寺,"No. 89, Lane 65, Daye Rd, Beitou District, Taipei City, Taiwan 112",25.1225471,121.4953795,HotSpot_pic/農禪寺.jpg
Taipei 101購物中心,"No. 45 號, City Hall Rd, Xinyi District, Taipei City, Taiwan 110",25.0341222,121.5640212,HotSpot_pic/Taipei 101購物中心.jpg
瑞芳火車站,"Ruifang Train Station, No. 82, Section 3, Mingdeng Rd, Ruifang District, New Taipei City, Taiwan 224",25.1087356,121.8059692,HotSpot_pic/瑞芳火車站.jpg
饒河街觀光夜市,"Raohe St, Songshan District, Taipei City, Taiwan 105",25.0508854,121.5774891,HotSpot_pic/饒河街觀光夜市.jpg
黃金瀑布,"Jinshui Rd, Ruifang District, New Taipei City, Taiwan 224",25.1171278,121.8614895,HotSpot_pic/黃金瀑布.jpg
擎天崗,"No. 246, Lane 101, Jingshan Rd, Shilin District, Taipei City, Taiwan 111",25.165756,121.5753508,HotSpot_pic/擎天崗.jpg
菁桐老街,"Jingtong St, Pingxi District, New Taipei City, Taiwan 226",25.0237927,121.723513,HotSpot_pic/菁桐老街.jpg
角板山行館（角板山公園）,"Jiaoban Mt. Park, No. 2, Zhongzheng Rd, Fuxing District, Taoyuan City, Taiwan 336",24.813974,121.3506816,HotSpot_pic/角板山行館（角板山公園）.jpg
竹圍漁港,"337, Taiwan, Taoyuan City, Dayuan District, 漁港路451巷25號",25.117158,121.2444776,HotSpot_pic/竹圍漁港.jpg
達觀山(拉拉山)風景特定區,"336, Taiwan, Taoyuan City, Fuxing District, 11鄰205號拉拉山神木群步道",24.710668,121.4377528,HotSpot_pic/達觀山(拉拉山)風景特定區.jpg
小烏來天空步道,"336, Taiwan, Taoyuan City, Fuxing District, 4-6號",24.7903264,121.3754843,HotSpot_pic/小烏來天空步道.jpg
三民公園(三民運動公園),"330, Taiwan, Taoyuan City, Taoyuan District, Section 1, Sanmin Rd, 218號 三民運動公園管理中心",25.000307,121.3201791,HotSpot_pic/三民公園(三民運動公園).jpg
大溪橋（大溪情人橋）,"Daxi Bridge, No. 273, Section 1, Rui'an Rd, Daxi District, Taoyuan City, Taiwan 335",24.8848382,121.2834562,HotSpot_pic/大溪橋（大溪情人橋）.jpg
巴陵鐵塔,"Fuxing District, Taoyuan City, Taiwan 336",24.6847606,121.3951582,HotSpot_pic/巴陵鐵塔.jpg
愛情故事館,"No. 1037, Section 1, Fuxing Rd, Daxi District, Taoyuan City, Taiwan 335",24.841228,121.289988,HotSpot_pic/愛情故事館.jpg
石門水庫風景區,"336, Taiwan, Taoyuan City, Daxi District, 環湖路一段68號",24.8131925,121.2459708,HotSpot_pic/石門水庫風景區.jpg
桃源仙谷(暫停營業),"336, Taiwan, Taoyuan City, Fuxing District, 羅馬路六段295號",24.7877656,121.2785836,HotSpot_pic/桃源仙谷(暫停營業).jpg
彩虹瀑布,"Pahang, Malaysia",3.9221667,102.9473333,HotSpot_pic/彩虹瀑布.jpg
基國派老教堂,"No. 1號, Jiguo Industry Rd, Fuxing District, Taoyuan City, Taiwan 336",24.8401529,121.3476743,HotSpot_pic/基國派老教堂.jpg
永安漁港,"No. 1165號, Section 3, Zhongshan W Rd, Xinwu District, Taoyuan City, Taiwan 327",24.987719,121.0157884,HotSpot_pic/永安漁港.jpg
龍潭渴望園區,"325, Taiwan, 桃園市龍潭區渴望園區",24.8372785,121.1887271,HotSpot_pic/龍潭渴望園區.jpg
復興橋‧羅浮橋,"336, Taiwan, Taoyuan City, Fuxing District, Fuxing Bridge, 復興橋",24.8012015,121.3663274,HotSpot_pic/復興橋‧羅浮橋.jpg
拉拉山旅遊服務中心,"336, Taiwan, Taoyuan City, Fuxing District, 華陵村7鄰29號",24.6797779,121.3839644,HotSpot_pic/拉拉山旅遊服務中心.jpg
巴陵古道生態園區（幽靜步道）,"336, Taiwan, Taoyuan City, Fuxing District, 巴陵古道生態園區",24.679591,121.3831577,HotSpot_pic/巴陵古道生態園區（幽靜步道）.jpg
八德埤塘生態公園,"Bade Pond Ecology Park, No. 1315號, Xingfeng Rd, Bade District, Taoyuan City, Taiwan 334",24.9416499,121.3112514,HotSpot_pic/八德埤塘生態公園.jpg
小烏來風景特定區,"Little Wu-Lai, Fuxing District, Taoyuan City, Taiwan 336",24.7861403,121.3655989,HotSpot_pic/小烏來風景特定區.jpg
東安古橋,"Dong'an Old Bridge, Zhongshan E Rd, Guanxi Township, Hsinchu County, Taiwan 306",24.7908574,121.1798009,HotSpot_pic/東安古橋.jpg
