Name,Address,Region,Town,Longtitude,Latitude,path
宏亞食品巧克力觀光工廠,桃園縣八德市建國路386號,桃園市,八德區,121.297187,24.943325,location_images/宏亞食品巧克力觀光工廠.jpg
臺灣菸酒(股)公司林口觀光酒廠,桃園縣龜山鄉文化一路55號,桃園市,龜山區,121.375231,25.056168,location_images/臺灣菸酒(股)公司林口觀光酒廠.jpg
邱良功古厝,金門縣893金城鎮浯江街27號,金門縣,金城鎮,118.31778,24.43263,location_images/邱良功古厝.jpg
陳詩吟洋樓,金門縣893金城鎮珠浦東路44號,金門縣,金城鎮,118.31773,24.43153,location_images/陳詩吟洋樓.jpg
朱子祠,金門縣893金城鎮珠埔北路36號,金門縣,金城鎮,118.31728,24.43454,location_images/朱子祠.jpg
黃偉墓,金門縣890金沙鎮後浦頭烏鴉落田,金門縣,金沙鎮,118.41067,24.4783,location_images/黃偉墓.jpg
黃宣顯六路大厝,金門縣890金沙鎮汶沙里后浦頭3號,金門縣,金沙鎮,118.41471,24.48706,location_images/黃宣顯六路大厝.jpg
莒光樓,金門縣893金城鎮賢城路1號,金門縣,金城鎮,118.319,24.42497,location_images/莒光樓.jpg
奎閣(魁星樓),金門縣893金城鎮珠浦東路43號前,金門縣,金城鎮,118.3178,24.43133,location_images/奎閣(魁星樓).jpg
瓊林蔡氏家廟,金門縣891金湖鎮瓊林村155號附近,金門縣,金湖鎮,118.37399,24.45444,location_images/瓊林蔡氏家廟.jpg
清金門鎮總兵署,金門縣893金城鎮浯江街53號,金門縣,金城鎮,118.31841,24.4323,location_images/清金門鎮總兵署.jpg
吳秀才厝,金門縣894烈嶼鄉上庫25號,金門縣,烈嶼鄉,118.22958,24.42228,location_images/吳秀才厝.jpg
慈德宮,金門縣890金沙鎮汶沙里后浦頭99號,金門縣,金沙鎮,118.41251,24.48602,location_images/慈德宮.jpg
邱良功母節孝坊,金門縣893金城鎮東門里莒光路一段觀音亭旁,金門縣,金城鎮,118.31852,24.43141,location_images/邱良功母節孝坊.jpg
將軍第,金門縣893金城鎮珠浦北路24號,金門縣,金城鎮,118.3181,24.43307,location_images/將軍第.jpg
虛江嘯臥碣群,金門縣893金城鎮古崗湖南側,金門縣,金城鎮,118.30562,24.39839,location_images/虛江嘯臥碣群.jpg
陳禎恩榮坊,金門縣890金沙鎮陽宅村會山寺右前方,金門縣,金沙鎮,118.43026,24.48111,location_images/陳禎恩榮坊.jpg
海印寺,金門縣891金湖鎮太武山上(玉章路往太武山方向),金門縣,金湖鎮,118.41855,24.46264,location_images/海印寺.jpg
邱良功墓園,金門縣891金湖鎮太武山小徑村旁,金門縣,金湖鎮,118.38593,24.44989,location_images/邱良功墓園.jpg
豐蓮山牧馬侯祠,金門縣893金城鎮山字第3121地號,金門縣,金城鎮,118.32239,24.42073,location_images/豐蓮山牧馬侯祠.jpg
文臺寶塔,金門縣893金城鎮古城村大文台古崗100號(近古城國小),金門縣,金城鎮,118.306,24.39879,location_images/文臺寶塔.jpg
漢影雲根碣,金門縣893金城鎮古城村西紅山上,金門縣,金城鎮,118.31264,24.39382,location_images/漢影雲根碣.jpg
瓊林一門三節坊,金門縣891金湖鎮瓊林里西郊的古官道上,金門縣,金湖鎮,118.3704,24.45392,location_images/瓊林一門三節坊.jpg
石門關,金門縣891金湖鎮太武山頂峰(梅園)後方,金門縣,金湖鎮,118.41783,24.4628,location_images/石門關.jpg
睿友學校,金門縣890金沙鎮三山村碧山1號,金門縣,金沙鎮,118.44112,24.48564,location_images/睿友學校.jpg
楊華故居,金門縣892金寧鄉湖埔村湖下114號,金門縣,金寧鄉,118.30613,24.45692,location_images/楊華故居.jpg
金門縣林務所,金門縣890金沙鎮大洋里東山31號,金門縣,金沙鎮,118.44444,24.46285,location_images/金門縣林務所.jpg
貴山海灘,金門縣894烈嶼鄉貴山海灘,金門縣,烈嶼鄉,118.22374,24.42701,location_images/貴山海灘.jpg
